index,238_1_www.nist.gov,238_2_www.nist.gov,238_3_www.nist.gov,238_4_www.nist.gov,238_5_www.nist.gov,238_6_www.nist.gov,238_7_www.nist.gov,238_8_www.nist.gov,238_9_www.nist.gov,238_10_www.nist.gov
1,-442.0,-442.0,-442.0,-442.0,-122.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1450.56,1396.84,1471.1,1418.96,1343.12,1517.22,1437.92,1434.76,1433.18,1479.0
3,3590.88,3935.64,3562.8,3772.92,3747.2400000000002,4070.2799999999997,3618.8399999999997,3644.5199999999995,3657.36,3552.0
4,4784.56,5584.239999999999,4953.5999999999985,5283.28,5028.16,4304.74,5173.08,4998.68,5113.680000000001,4749.0
5,6415.080000000001,6850.84,7746.000000000003,6273.24,6085.48,8330.68,6269.92,6074.44,6674.32,6242.0
6,8331.99999999999,8689.800000000001,11702.5,8559.2,7862.4,9615.000000000004,8262.6,8314.2,8480.099999999999,8004.0
7,14193.68,7835.3600000000015,11758.6,13457.719999999996,14127.64,14734.399999999992,11365.600000000006,13881.92,13709.559999999994,14238.0
8,28734.920000000002,14458.56,16357.7,23925.719999999998,28055.72,27396.58,14539.199999999999,27554.400000000012,27491.18,28129.0
9,29482.12,28871.72,18924.399999999998,27710.44,29112.96,31451.36,28221.16,27489.48,27567.64,29181.0
10,31365.04,28911.24,25006.4000000001,29881.559999999994,31079.48,30545.04,29215.28,31449.36000000002,31135.480000000003,31115.0
11,31117.39999999998,31633.4,35494.0,31241.199999999997,32143.2,34343.8,31192.599999999995,30629.8,31226.6,32167.0
12,34294.159999999996,30785.44,39435.1,32397.56,34082.44,35724.9,32580.12,32247.36,32758.38,34101.0
13,35841.6,32387.640000000003,38548.6,34322.16,49316.03999999993,52064.44,34434.04,34028.04,34193.96,38928.0
14,40606.12,34017.92,41902.200000000004,36913.44000000003,60349.799999999974,54022.44,35861.96,40948.119999999995,37388.89999999998,53835.0
15,49909.19999999999,40443.23999999999,43618.00000000003,51750.96,76278.72,69449.59999999999,51833.92,51175.56,51843.08,53202.0
16,54093.600000000006,51951.4,60553.5,52347.6,80326.4,100206.1,52659.0,52637.00000000001,54799.299999999996,70013.0
17,70386.03999999998,54399.04,59597.000000000015,67394.92000000003,95582.15999999995,98875.44,53298.96,71790.80000000002,71846.92,99525.0
18,97691.96,58945.43999999996,60918.6,91595.79999999999,115532.52,114563.46,73096.72,99579.16,71169.28,99503.0
