index,137_1_www.office.com,137_2_www.office.com,137_3_www.office.com,137_4_www.office.com,137_5_www.office.com,137_6_www.office.com,137_7_www.office.com,137_8_www.office.com,137_9_www.office.com,137_10_www.office.com,138_1_www.office.com,138_2_www.office.com,138_3_www.office.com,138_4_www.office.com,138_5_www.office.com,138_6_www.office.com,138_7_www.office.com,138_8_www.office.com,138_9_www.office.com,138_10_www.office.com,139_1_www.office.com,139_2_www.office.com,139_3_www.office.com,139_4_www.office.com,139_5_www.office.com,139_6_www.office.com,139_7_www.office.com,139_8_www.office.com,139_9_www.office.com,139_10_www.office.com,140_1_www.office.com,140_2_www.office.com,140_3_www.office.com,140_4_www.office.com,140_5_www.office.com,140_6_www.office.com,140_7_www.office.com,140_8_www.office.com,140_9_www.office.com,140_10_www.office.com
1,-442.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,256.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1500.84,1548.16,1516.58,1657.6999999999998,1612.2,1654.06,1548.7,1560.82,3575.3999999999996,1486.56,2015.3999999999999,4015.56,4059.7999999999993,4030.6800000000003,4019.88,4076.28,3579.0,4020.28,3957.24,3927.0,507.0,1005.5200000000004,1588.2,1591.16,1141.4799999999996,1601.52,-522.0,189.75999999999976,1608.92,1141.4799999999996,1420.54,1387.36,1396.84,1406.32,1417.3799999999999,1422.1200000000001,1381.04,1376.3,1442.66,1414.22
3,3833.28,4141.44,3691.6799999999994,4677.399999999999,4221.2,5719.48,4141.36,4275.52,5240.4800000000005,3705.88,5253.16,4415.4800000000005,5800.32,4512.4400000000005,4328.04,4403.96,5919.0,4710.76,5278.040000000003,6387.0,1400.0,1434.76,1354.3999999999999,1397.5199999999998,1444.24,1548.4400000000005,1234.0,1377.8799999999999,1555.44,1444.24,3760.08,3961.56,3935.64,3875.64,3785.76,3747.24,3978.84,3991.8,3601.68,3811.44
4,4549.04,4394.04,5008.42,6777.100000000003,6332.6,6460.42,5295.18,4281.32,8445.16,4764.5599999999995,8341.539999999999,7990.14,8508.12,7941.92,8226.619999999999,8385.960000000001,19267.0,8089.82,7824.600000000005,8828.0,2066.0,2688.8,3894.8999999999996,3929.16,2995.7,3974.52,1213.5,1196.6000000000001,4006.92,3447.7999999999997,5090.459999999999,5547.28,5308.44,5705.36,5081.34,5138.88,5567.92,5642.9,5043.16,5094.780000000001
5,8460.360000000002,8194.16,8778.08,7060.2,8000.800000000001,8646.400000000001,6274.16,8358.28,16093.84,8454.24,16535.6,19310.28,15959.52,19857.199999999993,19176.44,18791.2,33379.0,20450.199999999997,19480.12,19354.0,3927.0,3644.5199999999995,4127.4,4118.92,3599.52,4148.919999999998,4182.0,3987.48,4132.96,3599.52,6288.6,5081.759999999998,4100.12,5132.120000000001,6092.2,6338.8,4362.6399999999985,4412.4,6320.64,6240.72
6,7781.000000000004,15432.199999999986,10013.999999999989,12691.5,20688.0,20770.3,8147.3,21096.0,36832.2,7856.0000000000055,31621.7,39966.2,47154.3,40398.600000000006,44881.9,45991.8,32087.5,33106.3,37647.799999999996,32569.0,4111.5,4116.8,5042.0,5194.4,4807.199999999999,4929.4,3640.0,4045.6000000000004,5073.900000000001,5216.699999999998,8280.699999999999,8526.0,8360.800000000001,8620.0,8346.1,8546.0,8593.800000000001,8680.0,8215.699999999999,8171.099999999999
7,20753.56,20551.6,20705.039999999997,23235.000000000004,40257.8,39338.28,11961.72000000001,35411.08000000001,37425.23999999999,20417.32,28992.36,37544.35999999999,44375.52,37506.68,42396.119999999995,43293.84,37307.0,42066.96,39383.759999999995,41836.0,5546.0,5071.68,6476.2,6476.360000000002,4945.32,6551.48,4199.0,5398.24,4338.360000000001,5063.32,13456.44000000001,7655.399999999999,7502.3600000000015,8734.600000000008,16714.48,14293.519999999999,7843.159999999999,8101.199999999999,19381.4,11182.919999999993
8,33283.28,41340.24,42611.52,28587.8,37903.200000000004,36889.34,20349.66,41135.94,38028.32,36473.36,25660.06,40584.96000000001,41215.44,42478.28,51067.64,42685.36,45613.5,39716.62,36367.640000000014,39910.0,4748.5,4497.719999999999,8365.399999999996,7806.92000000001,4175.280000000001,7576.799999999994,5031.5,4904.360000000001,8228.039999999995,4293.280000000001,18681.8,18914.88,18755.72,19415.56,18629.42,19081.04,19158.32,19369.5,19286.2,18728.559999999998
9,41045.44,39544.56,40290.12,47101.200000000004,36008.8,37489.04,39716.48,39032.48,35634.08,34753.159999999996,31398.76,45310.44,44331.08,48160.28,74916.52,76292.68,59933.0,84543.84,38834.68,40874.0,6560.0,6133.759999999999,8481.6,8528.48,5930.96,9696.759999999998,4455.0,4140.84,8227.44,6573.8399999999965,20795.88,19137.28,18656.24,19106.36,20692.76,19093.840000000004,19049.440000000002,19273.2,20704.28,20540.84
10,39095.84,37345.88,38405.26,45043.1,33703.6,35429.06,40944.14,39530.58,38684.68,32494.24,45957.28,80014.98,101505.34,52081.44,80950.45999999999,86802.72,76850.5,94829.54,47265.24,48788.0,8870.5,8462.48,10222.00000000001,9709.340000000002,8263.58,10249.32,8568.0,6056.96,7979.9800000000005,8375.02,26434.68,20944.96,20391.04,20525.88,26262.420000000016,21289.39999999999,20887.36,20908.7,26048.8,24837.980000000018
